logement,surface_m2,chauffage,ampoules,lave_linge,lave_vaisselle,four,climatisation,nb_personnes,transport_mode,transport_km_semaine,estimation_kgCO2_an
appartement,102,electrique,10,1,1,0,0,6,velo,197,415.38666666666666
maison,78,electrique,16,1,0,1,1,3,marche,0,641.6666666666666
appartement,34,pompe à chaleur,5,1,0,1,1,1,voiture,47,888.28
appartement,121,gaz,20,0,1,1,1,5,velo,16,689.16
appartement,139,electrique,17,0,1,1,1,1,velo,101,3176.26
maison,146,gaz,5,0,0,1,1,6,voiture,148,1570.1866666666665
maison,106,gaz,17,1,0,0,0,5,velo,12,572.12
maison,119,electrique,19,1,1,0,0,2,voiture,87,1850.38
appartement,124,pompe à chaleur,24,1,0,1,1,2,marche,0,842.5
appartement,127,electrique,12,1,0,0,0,1,voiture,158,3670.92
maison,100,electrique,13,1,0,0,1,1,velo,171,2349.46
appartement,87,electrique,24,1,1,0,1,1,velo,162,2217.12
maison,59,electrique,20,1,0,1,1,1,marche,0,1585.0
appartement,117,gaz,23,1,1,1,1,2,marche,0,1690.0
appartement,138,electrique,10,0,0,1,1,2,voiture,138,2381.12
maison,75,pompe à chaleur,16,0,0,1,0,6,marche,0,156.66666666666666
maison,138,electrique,23,0,1,0,1,4,velo,123,821.98
maison,33,gaz,15,1,1,0,0,3,marche,0,340.0
appartement,135,electrique,18,1,0,0,0,5,velo,126,613.76
appartement,103,gaz,15,0,0,0,1,3,velo,114,987.9733333333334
maison,107,pompe à chaleur,20,1,0,0,0,4,voiture,127,1116.23
maison,123,gaz,6,0,0,1,1,2,marche,0,1657.5
appartement,107,pompe à chaleur,23,0,1,1,1,3,marche,0,500.0
maison,55,gaz,15,0,1,0,0,1,voiture,183,2686.92
appartement,98,gaz,15,1,0,1,0,5,marche,0,531.0
appartement,46,gaz,21,1,0,1,0,4,voiture,11,422.39
maison,51,pompe à chaleur,17,1,0,1,0,4,marche,0,183.75
appartement,31,pompe à chaleur,19,0,0,1,1,2,marche,0,340.0
maison,48,gaz,14,0,0,1,1,3,marche,0,506.6666666666667
maison,47,electrique,9,0,0,0,1,6,marche,0,196.66666666666666
appartement,146,gaz,8,0,0,1,0,4,voiture,155,1907.2
maison,149,gaz,20,0,0,0,1,5,voiture,113,1520.12
appartement,93,electrique,17,0,0,0,1,5,velo,37,445.62
appartement,140,electrique,17,1,1,0,1,2,velo,161,1624.36
appartement,122,pompe à chaleur,18,1,0,1,1,3,velo,185,583.1
maison,74,electrique,9,0,1,0,1,4,voiture,199,1676.76
maison,127,electrique,6,1,0,1,0,4,marche,0,663.75
appartement,36,electrique,23,1,0,1,1,1,voiture,49,1460.76
appartement,77,pompe à chaleur,8,1,1,1,0,6,voiture,152,1102.6466666666668
appartement,37,gaz,14,1,0,0,0,4,marche,0,272.5
maison,96,gaz,5,1,1,0,1,6,voiture,108,1114.7533333333333
maison,112,electrique,8,0,1,0,1,6,marche,0,415.0
